,budget,genres,id,imdb_id,original_title,release_date,revenue,vote_average,vote_count
77,15000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",33217.0,tt1196141,Diary of a Wimpy Kid,2010-03-19,76196538.0,6.2,1268.0
78,20000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",29427.0,tt0455407,The Crazies,2010-02-26,54956140.0,6.2,1647.0
79,4000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",33613.0,tt1343097,Luftslottet som sprängdes,2009-11-27,43498108.0,7.1,1127.0
80,100000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",39451.0,tt0970866,Little Fockers,2010-12-21,310650585.0,5.6,2787.0
81,58000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",39514.0,tt1245526,RED,2010-10-13,199000000.0,6.7,5756.0
82,25000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",22971.0,tt0989757,Dear John,2010-02-04,114977104.0,6.8,3724.0
83,26000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",22894.0,tt1038686,Legion,2010-01-21,67918658.0,5.8,2116.0
84,22000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",37933.0,tt0495596,ゲド戦記,2006-07-29,68625104.0,6.6,1059.0
85,19000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",25195.0,tt1216492,Leap Year,2010-01-08,32686500.0,6.9,1725.0
86,38000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",38408.0,tt1055292,Life As We Know It,2010-10-02,105734416.0,6.9,2737.0
87,4422952.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",24253.0,tt1216487,Flickan som lekte med elden,2009-09-18,67126795.0,7.0,1383.0
88,22000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",38363.0,tt0977855,Fair Game,2010-05-20,25806953.0,6.5,619.0
89,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10770, 'name': 'TV Movie'}]",44244.0,tt1252380,Camp Rock 2: The Final Jam,2010-09-17,0.0,6.3,1351.0
90,100000000.0,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",22972.0,tt0947810,Green Zone,2010-03-11,94882889.0,6.5,1841.0
91,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}]",30061.0,tt1494772,Justice League: Crisis on Two Earths,2010-02-23,0.0,7.3,554.0
92,16000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",23169.0,tt1403981,Remember Me,2010-03-11,56032889.0,7.1,3162.0
93,18000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",44115.0,tt1542344,127 Hours,2010-11-12,35692920.0,7.1,6440.0
