,genre_ids,original_language,popularity,title,vote_average,vote_count
250,"['Animation', 'Family']",en,7.835,Day & Night,7.7,438
14820,['Documentary'],en,4.507,De Palma,7.3,63
17383,"['Action', 'Adventure', 'Comedy']",en,35.067,Deadpool,7.6,20175
23823,"['Action', 'Comedy', 'Adventure']",en,38.894,Deadpool 2,7.5,8773
21353,"['Action', 'Comedy', 'Crime']",en,4.871,Deadpool: No Good Deed,7.2,42
21320,['Animation'],en,5.231,Dear Basketball,7.1,91
2984,"['Animation', 'Drama']",en,5.158,Death of a Superhero,7.1,64
5606,['Drama'],fr,5.734,Declaration of War,7.1,111
21210,"['Music', 'Documentary']",en,6.245,Demi Lovato: Simply Complicated,8.4,88
25034,"['Documentary', 'TV Movie']",en,3.195,Derren Brown: Pushed to the Edge,7.4,39
20765,"['TV Movie', 'Family', 'Action', 'Comedy', 'Music', 'Adventure']",en,12.21,Descendants 2,7.3,717
8412,"['Comedy', 'Romance']",en,5.134,Design for Living,7.4,71
8,"['Animation', 'Family', 'Comedy']",en,23.673,Despicable Me,7.2,10057
2743,['Drama'],en,7.972,Detachment,7.5,606
20818,"['Crime', 'Drama', 'Thriller', 'History']",en,10.872,Detroit,7.3,795
11803,['Documentary'],en,3.279,Dinosaur 13,7.1,50
14803,['Documentary'],fr,4.726,Dior and I,7.5,78
8405,"['Documentary', 'Drama', 'Crime']",en,5.187,Dirty Wars,7.1,78
8015,"['Drama', 'Thriller']",en,10.319,Disconnect,7.1,681
5189,"['Drama', 'Western']",en,21.26,Django Unchained,8.0,15725
14726,"['Fantasy', 'Drama']",en,5.599,Do You Believe?,7.0,72
17384,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,33.035,Doctor Strange,7.3,12582
17818,"['Science Fiction', 'Adventure', 'Drama', 'Family', 'TV Movie']",en,6.956,Doctor Who: The Return Of Doctor Mysterio,7.5,113
348,['Drama'],en,6.428,Dog Pound,7.6,177
2842,"['Action', 'Thriller']",hi,6.868,Don 2,7.1,97
14358,"['Crime', 'Drama', 'Comedy']",en,9.246,Dope,7.2,954
18175,"['Romance', 'Animation']",ja,3.641,Dou kyu sei – Classmates,7.9,52
5340,"['Drama', 'Action', 'Thriller']",cn,9.073,Dragon,7.1,106
24462,"['Action', 'Animation', 'Fantasy', 'Adventure', 'Comedy', 'Science Fiction']",ja,6.868,Dragon Ball Super: Broly,7.4,721
2608,"['Animation', 'Comedy', 'Adventure', 'Family']",en,10.477,Dragons: Gift of the Night Fury,7.0,189
14706,"['Crime', 'Drama', 'Thriller']",hi,5.754,Drishyam,7.9,126
2502,"['Drama', 'Action', 'Thriller', 'Crime']",en,15.875,Drive,7.5,6737
14396,"['Action', 'Thriller', 'TV Movie']",en,8.661,Duel,7.4,742
24029,"['Comedy', 'Drama']",en,13.221,Dumplin',7.1,658
20640,"['War', 'Action', 'Drama']",en,24.358,Dunkirk,7.4,9156
20990,"['Documentary', 'Family']",en,8.266,Earth: One Amazing Day,7.8,80
17524,"['Comedy', 'Drama', 'History', 'Adventure']",en,11.483,Eddie the Eagle,7.2,1190
3039,"['Animation', 'Drama', 'Mystery', 'Science Fiction']",ja,4.424,Eden of the East Movie I: The King of Eden,7.0,31
11051,"['Action', 'Science Fiction']",en,19.753,Edge of Tomorrow,7.6,8047
23986,"['Comedy', 'Drama']",en,14.777,Eighth Grade,7.4,519
14773,['Documentary'],en,5.179,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",7.6,66
2808,"['Drama', 'Thriller']",ru,7.319,Elena,7.3,92
200,"['Drama', 'Romance']",en,8.531,Elena Undone,7.2,81
2771,"['Drama', 'Action', 'Crime']",pt,7.631,Elite Squad: The Enemy Within,7.7,821
14550,"['Adventure', 'Drama']",es,6.887,Embrace of the Serpent,7.8,212
24440,['Documentary'],en,7.03,End Game,7.5,33
5248,"['Crime', 'Drama', 'Thriller']",en,13.152,End of Watch,7.3,1770
8340,"['Comedy', 'Drama', 'Family']",hi,5.835,English Vinglish,7.5,111
150,"['Fantasy', 'Drama']",en,9.563,Enter the Void,7.3,773
11201,"['Animation', 'Comedy', 'Drama', 'Family']",fr,9.534,Ernest & Celestine,7.7,246
18136,"['Drama', 'Romance']",es,4.088,Esteros,7.1,48
11207,"['Animation', 'Science Fiction', 'Action', 'Drama']",ja,9.395,Evangelion: 3.0 You Can (Not) Redo,7.6,179
2810,"['Drama', 'History']",es,7.286,Even the Rain,7.0,134
24043,"['Drama', 'Fantasy', 'Romance']",en,12.846,Every Day,7.0,1040
5730,['Documentary'],en,4.063,Everything or Nothing,7.2,37
20728,"['Drama', 'Romance']",en,13.998,"Everything, Everything",7.2,2447
14208,"['Drama', 'Science Fiction']",en,18.485,Ex Machina,7.6,8026
194,['Documentary'],en,8.696,Exit Through the Gift Shop,7.7,467
2641,['Drama'],en,9.828,Extremely Loud & Incredibly Close,7.0,1231
18226,['Documentary'],en,3.206,Extremis,7.2,43
