,title,production_budget,domestic_gross,worldwide_gross
84,Fantastic Beasts and Where to Find Them,180000000,234000000,802400000
59,Fantastic Beasts: The Crimes of Grindelwald,200000000,159600000,652200000
484,Fantastic Four,87500000,154700000,333100000
286,Fantastic Four: Rise of the Silver Surfer,120000000,131900000,289500000
492,Fast & Furious,85000000,155100000,363100000
266,Fast Five,125000000,210000000,630200000
139,Fast and Furious 6,160000000,238700000,789300000
3172,Fatal Attraction,14000000,156600000,320100000
2336,Fences,24000000,57700000,64300000
313,Ferdinand,111000000,84400000,289800000
3769,Fiddler on the Roof,9000000,80500000,80500000
990,Fifty Shades Darker,55000000,114400000,381400000
996,Fifty Shades Freed,55000000,100400000,371400000
1377,Fifty Shades of Grey,40000000,166200000,571000000
2373,Final Destination,23000000,53300000,112000000
2190,Final Destination 3,25000000,54100000,112800000
45,Finding Dory,200000000,486300000,1021200000
424,Finding Nemo,94000000,380500000,936400000
3988,Flashdance,7000000,90500000,201500000
2127,Flatliners,26000000,61300000,61300000
1822,Flight,31000000,93800000,160600000
1001,Flightplan,55000000,89700000,214400000
564,Flubber,80000000,93000000,178000000
195,Flushed Away,149000000,64700000,179400000
798,Focus,65000000,53900000,168100000
680,Fool's Gold,72500000,70200000,109400000
3860,Footloose,8200000,80000000,80000000
2048,For Your Eyes Only,28000000,54800000,195300000
1875,Forgetting Sarah Marshall,30000000,63200000,105200000
981,Forrest Gump,55000000,330200000,679900000
1866,Four Brothers,30000000,74500000,92500000
553,Four Christmases,80000000,120100000,168300000
4424,Four Weddings and a Funeral,4500000,52700000,242900000
2120,Freaky Friday,26000000,110200000,160800000
2172,Freddy vs. Jason,25000000,82600000,114600000
1015,Free Birds,55000000,55800000,110400000
2507,Free Willy,20000000,77700000,153700000
1876,Friday Night Lights,30000000,61300000,62000000
2873,Friday the 13th,17000000,65000000,92700000
3469,Fried Green Tomatoes,11000000,81200000,81200000
1654,Friends with Benefits,35000000,55800000,146600000
155,Frozen,150000000,400700000,1272500000
214,Fun With Dick And Jane,140000000,110600000,203000000
66,Furious 7,190000000,353000000,1518700000
567,Fury,80000000,85800000,210300000
184,G-Force,150000000,119400000,292800000
212,G.I. Joe: Retaliation,140000000,122500000,375700000
105,G.I. Joe: The Rise of Cobra,175000000,150200000,302500000
1268,Galaxy Quest,45000000,71400000,90500000
1593,Game Night,37000000,69200000,117400000
2413,Gandhi,22000000,52800000,127800000
410,Gangs of New York,97000000,77700000,183100000
1115,Garfield: The Movie,50000000,75400000,208100000
992,George Of The Jungle,55000000,105300000,174500000
1396,Get Hard,40000000,90400000,106500000
1421,Get Him to the Greek,40000000,61200000,91500000
4248,Get Out,5000000,176000000,255400000
1834,Get Shorty,30250000,72000000,115000000
549,Get Smart,80000000,130300000,226700000
2404,Ghost,22000000,217600000,517600000
288,Ghost Rider,120000000,115800000,229500000
203,Ghostbusters,144000000,128400000,229000000
2035,Girls Trip,28000000,115100000,140900000
355,Gladiator,103000000,187700000,457700000
2499,Glass,20000000,111000000,245300000
1605,Gnomeo and Juliet,36000000,100000000,193700000
273,Godzilla,125000000,136300000,376000000
124,Godzilla: King of the Monsters,170000000,85600000,299300000
5189,Godâs Not Dead,1150000,60800000,63800000
852,Goldeneye,60000000,106400000,356400000
835,Gone Girl,61000000,167800000,368600000
354,Gone in 60 Seconds,103300000,101600000,232600000
4567,Gone with the Wind,3900000,198700000,390500000
3244,Good Morning Vietnam,13000000,123900000,123900000
3536,Good Will Hunting,10000000,138400000,225900000
957,Goosebumps,58000000,80100000,158900000
1422,Gothika,40000000,59600000,141500000
2164,Gran Torino,25000000,148100000,274500000
315,Gravity,110000000,274100000,693700000
4112,Grease,6000000,181800000,387500000
2370,Green Book,23000000,85100000,322000000
61,Green Lantern,200000000,116600000,219500000
3465,Gremlins,11000000,148200000,148200000
3164,Groundhog Day,14600000,70900000,70900000
633,Grown Ups,75000000,162000000,272200000
547,Grown Ups 2,80000000,133700000,247000000
113,Guardians of the Galaxy,170000000,333200000,770900000
48,Guardians of the Galaxy Vol 2,200000000,389800000,862300000
1643,Guess Who,35000000,68900000,102100000
1416,Hacksaw Ridge,40000000,67200000,168900000
639,Hairspray,75000000,118900000,203000000
3014,Halloween,15000000,58300000,77500000
2875,Halloween: H2O,17000000,55000000,55000000
162,Hancock,150000000,227900000,624200000
1861,Hannah Montana the Movie,30000000,79600000,169200000
4084,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,6500000,65300000,70700000
485,Hannibal,87000000,165100000,350100000
1126,Hansel & Gretel: Witch Hunters,50000000,55700000,214900000
4257,Happy Death Day,5000000,55700000,125000000
488,Happy Feet,85000000,198000000,385000000
232,Happy Feet Two,135000000,64000000,158000000
1877,Harlem Nights,30000000,60900000,95900000
363,Harry Potter and the Chamber of Secrets,100000000,262200000,879200000
263,Harry Potter and the Deathly Hallows: Part I,125000000,296100000,960400000
260,Harry Potter and the Deathly Hallows: Part II,125000000,381200000,1341700000
158,Harry Potter and the Goblet of Fire,150000000,290200000,897100000
19,Harry Potter and the Half-Blood Prince,250000000,302100000,935200000
157,Harry Potter and the Order of the Phoenix,150000000,292100000,943100000
238,Harry Potter and the Prisoner of Azkaban,130000000,249800000,796900000
262,Harry Potter and the Sorcererâs Stone,125000000,317900000,975000000
1392,He's Just Not That Into You,40000000,94000000,181100000
3003,Heaven Can Wait,15000000,98800000,98800000
3345,Heaven is for Real,12000000,91400000,100900000
883,Hellboy,60000000,59600000,99800000
531,Hellboy II: The Golden Army,82500000,76000000,160400000
1121,Herbie: Fully Loaded,50000000,66000000,144100000
383,Hercules,100000000,72700000,243400000
614,Hidalgo,78000000,67300000,108100000
2163,Hidden Figures,25000000,169600000,231800000
3468,High School Musical 3: Senior Year,11000000,90600000,274400000
984,Hitch,55000000,177800000,366800000
2512,Holes,20000000,67400000,71200000
461,Hollow Man,90000000,73200000,191200000
243,Home,130000000,177400000,386000000
2991,Home Alone,15000000,285800000,476700000
2488,Home Alone 2: Lost in New York,20000000,173600000,359000000
701,Hook,70000000,119700000,300900000
826,Hop,63000000,108100000,188700000
1879,Hope Floats,30000000,60100000,81500000
1874,Hope Springs,30000000,63500000,133100000
1633,Horrible Bosses,35000000,117500000,212400000
1430,Horrible Bosses 2,40000000,54400000,105900000
493,Horton Hears a Who,85000000,154500000,299500000
495,Hotel Transylvania,85000000,148300000,378500000
541,Hotel Transylvania 2,80000000,169700000,469500000
776,Hotel Transylvania 3: Summer Vacation,65000000,167500000,527100000
1642,Hotel for Dogs,35000000,73200000,122400000
282,How the Grinch Stole Christmas,123000000,260000000,345100000
1097,How to Lose a Guy in 10 Days,50000000,105800000,178900000
129,How to Train Your Dragon,165000000,217600000,494900000
198,How to Train Your Dragon 2,145000000,177000000,614600000
